date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:58	308103/308103	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:55:58%20GMT	https://www.betclim.fr/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/index.html	(from )
11:55:58	43/43	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Aug%202024%2009:55:58%20GMT	https://www.betclim.fr/robots.txt		(from )
11:55:58	64686/64686	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Aug%202024%2017:59:27%20GMT	https://www.betclim.fr/wp-content/uploads/hummingbird-assets/9b88f2b532754ef88dfd82717a9946c8.css	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/hummingbird-assets/9b88f2b532754ef88dfd82717a9946c8.css	(from https://www.betclim.fr/)
11:55:58	1003949/1003949	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Aug%202024%2013:00:36%20GMT	https://www.betclim.fr/wp-content/uploads/hummingbird-assets/905f98b35b3e1ae689532ca84cdf90b4.css	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/hummingbird-assets/905f98b35b3e1ae689532ca84cdf90b4.css	(from https://www.betclim.fr/)
11:55:59	101173/101173	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Aug%202024%2013:00:22%20GMT	https://www.betclim.fr/wp-content/uploads/hummingbird-assets/5dd488121333467c2db8ed94dc73fd5b.js	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/hummingbird-assets/5dd488121333467c2db8ed94dc73fd5b.js	(from https://www.betclim.fr/)
11:55:59	17210/17210	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Aug%202024%2012:59:20%20GMT	https://www.betclim.fr/wp-content/plugins/elementor-pro/assets/js/page-transitions.min.js?ver=3.23.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/plugins/elementor-pro/assets/js/page-transitions.min28fc.js	(from https://www.betclim.fr/)
11:55:59	50247/50247	---MC-	200	added ('OK')	application/rss+xml	etag:%225f9af5eebe03ac637a18bd0e42ffd73e%22	https://www.betclim.fr/feed/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/feed/index.html	(from https://www.betclim.fr/)
11:55:59	745/745	---MC-	200	added ('OK')	application/rss+xml	etag:%225f9af5eebe03ac637a18bd0e42ffd73e%22	https://www.betclim.fr/comments/feed/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/comments/feed/index.html	(from https://www.betclim.fr/)
11:56:00	287197/287197	---MC-	200	added ('OK')	application/json	date:Mon,%2026%20Aug%202024%2009:56:00%20GMT	https://www.betclim.fr/wp-json/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-json/index.html	(from https://www.betclim.fr/)
11:56:00	237634/237634	---MC-	200	added ('OK')	application/json	date:Mon,%2026%20Aug%202024%2009:56:00%20GMT	https://www.betclim.fr/wp-json/wp/v2/pages/6	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-json/wp/v2/pages/6.json	(from https://www.betclim.fr/)
11:56:00	798/798	---MCZ	200	added ('OK')	text/xml	date:Mon,%2026%20Aug%202024%2009:56:01%20GMT	https://www.betclim.fr/xmlrpc.php?rsd	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/xmlrpc0db0.php	(from https://www.betclim.fr/)
11:56:01	2028/2028	---MC-	200	added ('OK')	application/json	date:Mon,%2026%20Aug%202024%2009:56:01%20GMT	https://www.betclim.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.betclim.fr%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-json/oembed/1.0/embed10cb.json	(from https://www.betclim.fr/)
11:56:01	2188/2188	---MCZ	200	added ('OK')	text/xml	date:Mon,%2026%20Aug%202024%2009:56:01%20GMT	https://www.betclim.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.betclim.fr%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-json/oembed/1.0/embedc904	(from https://www.betclim.fr/)
11:56:01	2137/2137	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2015:39:15%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan-150x150.png	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan-150x150.png	(from https://www.betclim.fr/)
11:56:01	4190/4190	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2015:39:15%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan-300x300.png	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan-300x300.png	(from https://www.betclim.fr/)
11:56:02	352093/352093	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:14:42%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan.png	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Logo-rouge-slogan.png	(from https://www.betclim.fr/)
11:56:02	200813/200813	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2015:40:12%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/instagram-post-1024x1024.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/instagram-post-1024x1024.jpg	(from https://www.betclim.fr/)
11:56:02	106590/106590	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202024%2015:56:26%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/indoor-air-conditioner-unit-mounted-on-wall-2023-11-27-05-00-50-utc-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/indoor-air-conditioner-unit-mounted-on-wall-2023-11-27-05-00-50-utc-scaled.jpg	(from https://www.betclim.fr/)
11:56:02	10058/10058	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Aug%202024%2013:00:19%20GMT	https://www.betclim.fr/wp-content/uploads/elementor/css/custom-widget-icon-box.min.css?ver=1723986019	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/elementor/css/custom-widget-icon-box.minacc4.css	(from https://www.betclim.fr/)
11:56:03	275861/275861	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202024%2015:56:47%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/ceiling-mounted-cassette-type-air-conditioner-in-b-2023-11-27-05-31-34-utc-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/ceiling-mounted-cassette-type-air-conditioner-in-b-2023-11-27-05-31-34-utc-scaled.jpg	(from https://www.betclim.fr/)
11:56:03	133840/133840	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:56:03%20GMT	https://www.betclim.fr/guide-ultime-des-energies-renouvelables-2/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/guide-ultime-des-energies-renouvelables-2/index.html	(from https://www.betclim.fr/)
11:56:03	100388/100388	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2015:39:44%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/high-angle-view-man-working-1024x683.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/high-angle-view-man-working-1024x683.jpg	(from https://www.betclim.fr/)
11:56:03	195838/195838	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202024%2021:12:48%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/worker-repairing-water-heater-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/worker-repairing-water-heater-scaled.jpg	(from https://www.betclim.fr/)
11:56:03	243324/243324	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202024%2005:09:38%20GMT	https://www.betclim.fr/wp-content/uploads/2024/07/THERMOSTAT-CONNECTE-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/07/THERMOSTAT-CONNECTE-scaled.jpg	(from https://www.betclim.fr/)
11:56:03	399316/399316	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202024%2022:12:43%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/wood-sawdust-pellets-for-wood-stoves-ecological-b-2024-05-13-23-16-23-utc-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/wood-sawdust-pellets-for-wood-stoves-ecological-b-2024-05-13-23-16-23-utc-scaled.jpg	(from https://www.betclim.fr/)
11:56:04	49481/49481	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202024%2021:12:49%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/worker-repairing-water-heater-1024x683.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/worker-repairing-water-heater-1024x683.jpg	(from https://www.betclim.fr/)
11:56:04	130174/130174	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:56:04%20GMT	https://www.betclim.fr/contact/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/contact/index.html	(from https://www.betclim.fr/)
11:56:04	1065602/1065602	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2015:39:23%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/men-workers-installing-solar-panels-on-roof-of-hou-2023-11-27-05-07-31-utc-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/men-workers-installing-solar-panels-on-roof-of-hou-2023-11-27-05-07-31-utc-scaled.jpg	(from https://www.betclim.fr/)
11:56:04	270193/270193	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2018%20May%202024%2019:44:37%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/SFR.svg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/SFR.svg	(from https://www.betclim.fr/)
11:56:04	4520/4520	---M--	200	added ('OK')	image/webp	date:Sat,%2018%20May%202024%2019:44:31%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Claudie-Pierlot-.webp	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Claudie-Pierlot-.webp	(from https://www.betclim.fr/)
11:56:05	1387/1387	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2018%20May%202024%2019:44:33%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Mango.svg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Mango.svg	(from https://www.betclim.fr/)
11:56:05	15447/15447	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2018%20May%202024%2019:44:33%20GMT	https://www.betclim.fr/wp-content/uploads/2024/05/Haribo.svg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Mohamed/www.betclim.fr/wp-content/uploads/2024/05/Haribo.svg	(from https://www.betclim.fr/)
